Name,Cinsiyet,Doğum Yılı,Eğitim Durumu,Sınıf (üni),Kayıtlı olduğun üniversite,Kayıtlı olduğun bölüm,Mezun olduğun üniversite,Mezun olduğun bölüm
recMOEgit9paeRpu0,Kadın,2003,Lisans,2,İstanbul Sabahattin Zaim Üniversitesi,İşletme,,
recctBdfAVlccKdlt,Kadın,2005,Lisans,1,Orta Doğu Teknik Üniversitesi (Ankara),Endüstriyel Tasarım (İngilizce),,
recHa3hlyd33u0BGL,Kadın,2001,Lisans,3,Yıldız Teknik Üniversitesi,İşletme,,
recvUg754icLr3rNY,Erkek,2009,Lise,,,,,
reczOoIIrVZ5xM0bH,Kadın,2005,Lisans,Hazırlık,Kocaeli Üniversitesi,Elektronik ve Haberleşme Mühendisliği (İngilizce),,
recs6MB9SCrbcZ0mT,Kadın,2002,Lisans,3,Sakarya Üniversitesi,Yazılım Mühendisliği (İngilizce),,
recUW5ICjGUJgsRDp,Erkek,2004,Ön Lisans,1,Düzce Üniversitesi,İşletme,,
recYiw6RK3szw63fW,Erkek,2004,Lisans,Hazırlık,Kocaeli Üniversitesi,Yazılım Mühendisliği (İngilizce),,
recJcrNIlqc3dUvMN,Kadın,2007,Lise,,,,,
recA854W4NCnurEyo,Kadın,2003,Lisans,4,Hacettepe Üniversitesi (Ankara),Psikoloji,,
recFKeyMVheNcl9i2,Kadın,2003,Lisans,2,Gaziantep Üniversitesi,Sosyoloji (İngilizce),,
rectbBEc3GqbF55Y2,Kadın,2002,Lisans,4,İstanbul Teknik Üniversitesi,Geomatik Mühendisliği (İngilizce),,
rechhPE2ljgZbraWJ,Erkek,1998,Lisans,1,Gebze Teknik Üniversitesi,İşletme,,
recZdlY96BIQIKehA,Kadın,2004,Lisans,2,Yıldız Teknik Üniversitesi,Elektrik Mühendisliği (İngilizce),,
rec6xRPqgrB32wVgD,Kadın,2004,Lisans,1,Mimar Sinan Güzel Sanatlar Üniversitesi (İstanbul),İstatistik,,
rec753bzeuNPj41Us,Erkek,2004,Lisans,1,Hatay Mustafa Kemal Üniversitesi,Uluslararası İlişkiler,,
recPIShXLT9jXBsgL,Kadın,2003,Lisans,2,Bursa Teknik Üniversitesi,Elektrik-Elektronik Mühendisliği,,
recZ775gR2VZmlDBN,Kadın,2003,Lisans,3,Manisa Celâl Bayar Üniversitesi,Yazılım Mühendisliği (M.T.O.K.) (İÖ),,
recH5IB6Pph7AS1R2,Kadın,2005,Lisans,1,Amasya Üniversitesi,Bilgisayar Mühendisliği,,
recLvVneDVIgF9GiZ,Erkek,2002,Lisans,5,Amasya Üniversitesi,Bilgisayar Mühendisliği,,
recc3bhMmKmJ2kLrZ,Kadın,2004,Lisans,2,İzmir Ekonomi Üniversitesi,Bilgisayar Mühendisliği,,
recdDUOZKD3jbg8dp,Kadın,2004,Lisans,Hazırlık,Mef Üniversitesi (İstanbul),Elektrik-Elektronik Mühendisliği,,
recPX8I0gaVwxltba,Kadın,2001,Lisans,4,İstanbul Arel Üniversitesi,Bilgisayar Mühendisliği,,
recHI6TVFvT32QpMD,Kadın,2003,Lisans,2,İstanbul Ayvansaray Üniversitesi,İşletme,,
recNW8EIRj3KlDofC,Kadın,2002,Lisans,4,Bilecik Şeyh Edebali Üniversitesi,Yönetim Bilişim Sistemleri,,
rec4i5VVOR7r8LmYu,Kadın,2003,Lisans,1,Üsküdar Üniversitesi (İstanbul),Bilgisayar Mühendisliği (İngilizce),,
